,Species,Origin,Aroma,Flavor,Aftertaste,Acid,Mouthfeel,Color,altitude_mean_meters,,,,,,,,,,,,,,,,,Uniform.Cup,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points,,Category.One.Defects,Quakers,,,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters
1,Robusta,Uganda,7.83,8.08,7.75,7.92,8.25,Green,1488,,,,,,,,,,,,,,,,,10,10,7.92,8,83.75,,0,0,,,"June 26th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1488,1488
2,Robusta,India,7.92,7.83,7.92,8,7.83,Green,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Robusta,Uganda,8,7.92,7.92,7.75,7.83,Green,1212,,,,,,,,,,,,,,,,,10,10,7.92,8,83.25,,0,0,,,"April 29th, 2016",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,1000,1000
4,Robusta,Uganda,8.33,7.83,7.83,7.75,8.25,Green,1250,,,,,,,,,,,,,,,,,10,10,7.75,8.08,83,,0,0,,,"July 14th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1212,1212
5,Robusta,India,8,7.92,7.67,8,7.75,Green,3000,,,,,,,,,,,,,,,,,10,10,7.75,7.67,83,,0,0,,,"June 26th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1200,1300
6,Robusta,India,7.67,7.75,7.83,7.83,7.92,Green,750,,,,,,,,,,,,,,,,,10,10,7.92,7.75,82.75,,0,0,,,"February 28th, 2013",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,3000,3000
7,Robusta,India,7.67,7.75,7.83,7.67,7.92,Bluish-Green,3140,,,,,,,,,,,,,,,,,10,10,7.75,7.83,82.58,,0,0,,,"May 15th, 2015",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,750,750
8,Robusta,India,7.67,7.75,7.58,7.83,7.83,Green,1000,,,,,,,,,,,,,,,,,10,10,7.83,7.92,82.5,,0,0,,,"October 25th, 2018",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,3140,3140
9,Robusta,Uganda,7.67,7.83,7.83,7.83,7.92,Green,1100,,,,,,,,,,,,,,,,,10,10,8,7.92,82.5,,0,0,,,"August 17th, 2017",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,1000,1000
10,Robusta,Uganda,7.58,7.92,7.75,7.83,7.5,Green,1095,,,,,,,,,,,,,,,,,10,10,7.75,7.83,82.42,,0,0,,,"August 5th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,900,1300
